Name,Subclass,Url,Division,Retailer
ΠΑΝΙΚΟΣ Σ. ΜΑΠΠΑΣ (ΠΕΤΡΕΛΑΙΟΕΙΔΗ) ΛΙΜΙΤΕΔ,,panikos-s-mappas-petrelaioeidi-limited-1?ref=maptile,,Fuel Daddy
STAROIL (CYPRUS) LTD,,staroil-cyprus-ltd-15?ref=maptile,,Fuel Daddy
OLSERVE LIMITED,,olserve-limited-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-58?ref=maptile,,Fuel Daddy
GREENOIL LIMITED,,greenoil-limited-1?ref=maptile,,Fuel Daddy
SOFOCLIS PETROL STATION LTD,,sofoclis-petrol-station-ltd?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-58?ref=maptile,,Fuel Daddy
INDEXICO LIMITED,,indexico-limited-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,indexico-limited-1?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-29?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-57?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-54?ref=maptile,,Fuel Daddy
LEFKIOS NICOLAOU ENTERPRISES LIMITED,,lefkios-nicolaou-enterprises-limited-3?ref=maptile,,Fuel Daddy
SOFOCLIS PETROL STATION LTD,,sofoclis-petrol-station-ltd?ref=maptile,,Fuel Daddy
ROUGENOIR LTD,,rougenoir-ltd?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-27?ref=maptile,,Fuel Daddy
S.L. PETROLEUM SERVICES LTD,,coral-energy-products-cyprus-ltd-27?ref=maptile,,Fuel Daddy
AΡΙΣΤΟΣ Θ. ΑΡΙΣΤΕΙΔΟΥ ΛΙΜΙΤΕΔ,,aristos-th-aristeidoy-limited?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-57?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-56?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-49?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-52?ref=maptile,,Fuel Daddy
STAROIL (CYPRUS) LTD,,staroil-cyprus-ltd-16?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-25?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-51?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-50?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-53?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-53?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,petrolina-holdings-public-limited-53?ref=maptile,,Fuel Daddy
A & K PAVLOU TRADING LIMITED,,a-k-pavlou-trading-limited-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-60?ref=maptile,,Fuel Daddy
S & K TIGGER TRADING LIMITED,,s-k-tigger-trading-limited-2?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-52?ref=maptile,,Fuel Daddy
