Date,Name,Subclass,Price,Division,Retailer
2024-12-27,FLYING HORSE cabin luggage,Travel goods,45.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-12-27,FANTOM – Spinner 4 wheels – Cabin – Front Loader,Travel goods,95.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-12-27,VOLKSWAGEN POLO 1.0 PETROL MANUAL 1000cc,Second-hand motor cars,13000.0,TRANSPORT,Stock Center
2024-12-27,KIA PICANTO PETROL MANUAL 1000cc,Second-hand motor cars,10800.0,TRANSPORT,Stock Center
2024-12-27,KIA STONIC 1.2cc PETROL MANUAL 1200cc,Second-hand motor cars,13500.0,TRANSPORT,Stock Center
2024-12-27,Nissan Qashqai 1.3lt 156HP ACENTA LVL001,New motor cars,30900.0,TRANSPORT,Nissan
2024-12-27,Nissan Qashqai 1.3lt 156HP TEKNA+-LUXURY LVL004,New motor cars,35900.0,TRANSPORT,Nissan
2024-12-27,Nissan Qashqai 1.5lt 190HP ACENTA LVL005,New motor cars,35900.0,TRANSPORT,Nissan
2024-12-27,NISSAN JUKE 1.6lt 143HP N-CONNECTA 2-TONE,New motor cars,28000.0,TRANSPORT,Nissan
2024-12-27,Toyota Aygo X,New motor cars,17700.0,TRANSPORT,Toyota
2024-12-27,The New Toyota Yaris Cross,New motor cars,27900.0,TRANSPORT,Toyota
2024-12-27,The New Toyota Yaris,New motor cars,24900.0,TRANSPORT,Toyota
2024-12-27,6 x Instaflow 5000+ ρουφηξιές / puffs TPD Ηλεκτρονικά Τσιγάρα μίας χρήσης,Other tobacco products,79.0,ALCOHOLIC BEVERAGES AND TOBACCO,E-wholesale
2024-12-27,SKE Crystal 4in1 Ηλεκτρονικά Τσιγάρα μίας χρήσης + 8 προγεμισμένες κάψουλες,Other tobacco products,19.0,ALCOHOLIC BEVERAGES AND TOBACCO,E-wholesale
2024-12-27,Aspire Puxos Kit Ηλεκτρονικά Τσιγάρα + μπαταρία 21700 + 200 ml Υγρά άτμισης,Other tobacco products,59.0,ALCOHOLIC BEVERAGES AND TOBACCO,E-wholesale
2024-12-27,Machetero Petit Corona,Cigars,3.2,ALCOHOLIC BEVERAGES AND TOBACCO,The CYgar shop
2024-12-27,Rocky Patel Sixty Toro,Cigars,22.0,ALCOHOLIC BEVERAGES AND TOBACCO,The Royal Cigars
2024-12-27,Rocky Patel Tubo Sampler 6 Cig.,Cigars,100.0,ALCOHOLIC BEVERAGES AND TOBACCO,The Royal Cigars
2024-12-27,Perdomo 10Th Anniversary Maduro Super Toro,Cigars,14.0,ALCOHOLIC BEVERAGES AND TOBACCO,The Royal Cigars
2024-12-27,Carrillo Interlude Rothchild Jr. Maduro Natural,Cigars,4.5,ALCOHOLIC BEVERAGES AND TOBACCO,The Royal Cigars
2024-12-27,Marlboro 20 Pack,Cigarettes,4.81,ALCOHOLIC BEVERAGES AND TOBACCO,Numbeo
2024-12-27,Κλήσεις προς σταθερό,Wired telephone services,0.032,COMMUNICATION,CYTA
2024-12-27,Κλήσεις προς κινητό,Wireless telephone services,0.057,COMMUNICATION,CYTA
2024-12-27,MobileInternetHome1,Internet access provision services,35.0,COMMUNICATION,CYTA
2024-12-27,FREEDOM,Bundled telecommunication services,22.4,COMMUNICATION,CYTA
2024-12-27,To fixed telephony lines of other providers,Wired telephone services,0.03,COMMUNICATION,Epic
2024-12-27,To mobile telephony lines of other providers,Wireless telephone services,0.05,COMMUNICATION,Epic
2024-12-27,5G Unlimited Max Plus,Bundled telecommunication services,24.99,COMMUNICATION,Epic
2024-12-27,5G Unlimited Max,Bundled telecommunication services,19.99,COMMUNICATION,Epic
2024-12-27,Internet and Telephony 10,Internet access provision services,24.99,COMMUNICATION,Epic
2024-12-27,Internet and Telephony 20,Internet access provision services,29.99,COMMUNICATION,Epic
2024-12-27,Internet and Telephony 50,Internet access provision services,39.99,COMMUNICATION,Epic
2024-12-27,HomeFiber 60 MBPS,Internet access provision services,14.99,COMMUNICATION,Primetel
2024-12-27,HomeFiber 150 MBPS,Internet access provision services,25.99,COMMUNICATION,Primetel
2024-12-27,HomeFiber 100 MBPS,Internet access provision services,19.99,COMMUNICATION,Primetel
2024-12-27,Calls to other providers landline,Wired telephone services,0.03,COMMUNICATION,Primetel
2024-12-27,Calls to other providers mobile,Wireless telephone services,0.095,COMMUNICATION,Primetel
2024-12-27,Cablenet Mobile Service,Wireless telephone services,0.025,COMMUNICATION,Cablenet
2024-12-27,Cablenet Fixed Service,Wired telephone services,0.025,COMMUNICATION,Cablenet
2024-12-27,PurpleInternet,Internet access provision services,30.0,COMMUNICATION,Cablenet
2024-12-27,PurpleMaxMobile,Bundled telecommunication services,17.0,COMMUNICATION,Cablenet
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.021,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,ADELFOI ARTYMATA (PROTARAS) LIMITED - Κηροζίνη,Liquid fuels,1.195,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.031,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Αμόλυβδη 95,Petrol,1.396,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Αμόλυβδη 98,Petrol,1.506,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Πετρέλαιο Κίνησης,Diesel,1.477,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Πετρέλαιο Θέρμανσης,Liquid fuels,0.998,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",SHELL
2024-12-27,LEUTERIS KAMILARIS (EPICHEIRISEIS) LIMITED - Αμόλυβδη 95,Petrol,1.399,TRANSPORT,ESSO
2024-12-27,LEUTERIS KAMILARIS (EPICHEIRISEIS) LIMITED - Αμόλυβδη 98,Petrol,1.479,TRANSPORT,ESSO
2024-12-27,LEUTERIS KAMILARIS (EPICHEIRISEIS) LIMITED - Πετρέλαιο Κίνησης,Diesel,1.489,TRANSPORT,ESSO
2024-12-27,NIKOS & MARKOS PITTAKIS - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,ENI
2024-12-27,NIKOS & MARKOS PITTAKIS - Αμόλυβδη 98,Petrol,1.496,TRANSPORT,ENI
2024-12-27,NIKOS & MARKOS PITTAKIS - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,ENI
2024-12-27,NIKOS & MARKOS PITTAKIS - Πετρέλαιο Θέρμανσης,Liquid fuels,1.019,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ENI
2024-12-27,NIKOS & MARKOS PITTAKIS - Κηροζίνη,Liquid fuels,1.129,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ENI
2024-12-27,ADELFOI ARTYMATA (PARALIMNI) LIMITED - Κηροζίνη,Liquid fuels,1.195,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.996,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,CHRYSOULLA STATHI LIMITED - Αμόλυβδη 95,Petrol,1.398,TRANSPORT,EKO
2024-12-27,CHRYSOULLA STATHI LIMITED - Αμόλυβδη 98,Petrol,1.468,TRANSPORT,EKO
2024-12-27,CHRYSOULLA STATHI LIMITED - Πετρέλαιο Κίνησης,Diesel,1.479,TRANSPORT,EKO
2024-12-27,CHRYSOULLA STATHI LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.996,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,CHRYSOULLA STATHI LIMITED - Κηροζίνη,Liquid fuels,1.118,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 95,Petrol,1.399,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 98,Petrol,1.454,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.999,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,LI. MA. KA. & CO LTD - Αμόλυβδη 95,Petrol,1.399,TRANSPORT,ESSO
2024-12-27,LI. MA. KA. & CO LTD - Αμόλυβδη 98,Petrol,1.466,TRANSPORT,ESSO
2024-12-27,LI. MA. KA. & CO LTD - Πετρέλαιο Κίνησης,Diesel,1.489,TRANSPORT,ESSO
2024-12-27,LI. MA. KA. & CO LTD - Πετρέλαιο Θέρμανσης,Liquid fuels,1.016,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,LI. MA. KA. & CO LTD - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Αμόλυβδη 95,Petrol,1.396,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Αμόλυβδη 98,Petrol,1.506,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Πετρέλαιο Κίνησης,Diesel,1.477,TRANSPORT,SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Πετρέλαιο Θέρμανσης,Liquid fuels,0.998,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",SHELL
2024-12-27,CORAL ENERGY PRODUCTS CYPRUS LTD - Κηροζίνη,Liquid fuels,1.117,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",SHELL
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.031,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 95,Petrol,1.397,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 98,Petrol,1.454,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.479,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.999,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,ANTONAKIS KOURRIS & YIOS LIMITED - Αμόλυβδη 95,Petrol,1.397,TRANSPORT,ESSO
2024-12-27,ANTONAKIS KOURRIS & YIOS LIMITED - Αμόλυβδη 98,Petrol,1.479,TRANSPORT,ESSO
2024-12-27,ANTONAKIS KOURRIS & YIOS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.479,TRANSPORT,ESSO
2024-12-27,ANTONAKIS KOURRIS & YIOS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.019,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,ANTONAKIS KOURRIS & YIOS LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,STYLLI & IOSIF EPICHEIRISEIS LIMITED - Κηροζίνη,Liquid fuels,1.199,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,TSOIL ENTERPRISES LIMITED - Αμόλυβδη 95,Petrol,1.397,TRANSPORT,ESSO
2024-12-27,TSOIL ENTERPRISES LIMITED - Αμόλυβδη 98,Petrol,1.477,TRANSPORT,ESSO
2024-12-27,TSOIL ENTERPRISES LIMITED - Πετρέλαιο Κίνησης,Diesel,1.487,TRANSPORT,ESSO
2024-12-27,TSOIL ENTERPRISES LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.019,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,TSOIL ENTERPRISES LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,A. TRISOKKAS & YIOS LIMITED - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,A. TRISOKKAS & YIOS LIMITED - Αμόλυβδη 98,Petrol,1.474,TRANSPORT,PETROLINA
2024-12-27,A. TRISOKKAS & YIOS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,A. TRISOKKAS & YIOS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.049,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,A. TRISOKKAS & YIOS LIMITED - Κηροζίνη,Liquid fuels,1.067,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,STAROIL (CYPRUS) LTD - Αμόλυβδη 95,Petrol,1.385,TRANSPORT,STAROIL
2024-12-27,STAROIL (CYPRUS) LTD - Αμόλυβδη 98,Petrol,1.452,TRANSPORT,STAROIL
2024-12-27,STAROIL (CYPRUS) LTD - Πετρέλαιο Κίνησης,Diesel,1.476,TRANSPORT,STAROIL
2024-12-27,STAROIL (CYPRUS) LTD - Πετρέλαιο Θέρμανσης,Liquid fuels,0.997,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",STAROIL
2024-12-27,STAROIL (CYPRUS) LTD - Κηροζίνη,Liquid fuels,1.117,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",STAROIL
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 95,Petrol,1.385,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Αμόλυβδη 98,Petrol,1.454,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.476,TRANSPORT,EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.999,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,R.A.M. OIL CYPRUS LIMITED - Κηροζίνη,Liquid fuels,1.119,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,MICHALIS KATZIS & KYRIAKOS EGGLEZOS - Αμόλυβδη 95,Petrol,1.409,TRANSPORT,PETROLINA
2024-12-27,MICHALIS KATZIS & KYRIAKOS EGGLEZOS - Αμόλυβδη 98,Petrol,1.475,TRANSPORT,PETROLINA
2024-12-27,MICHALIS KATZIS & KYRIAKOS EGGLEZOS - Πετρέλαιο Κίνησης,Diesel,1.483,TRANSPORT,PETROLINA
2024-12-27,MICHALIS KATZIS & KYRIAKOS EGGLEZOS - Πετρέλαιο Θέρμανσης,Liquid fuels,1.099,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,MICHALIS KATZIS & KYRIAKOS EGGLEZOS - Κηροζίνη,Liquid fuels,1.199,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,NIKOS GERASIMOU LIMITED - Κηροζίνη,Liquid fuels,1.198,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 95,Petrol,1.386,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,1.011,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,PETROLINA (HOLDINGS) PUBLIC LIMITED - Κηροζίνη,Liquid fuels,1.148,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",PETROLINA
2024-12-27,MARIOS G. PANAGI & SIA LTD - Αμόλυβδη 95,Petrol,1.386,TRANSPORT,ESSO
2024-12-27,MARIOS G. PANAGI & SIA LTD - Αμόλυβδη 98,Petrol,1.469,TRANSPORT,ESSO
2024-12-27,MARIOS G. PANAGI & SIA LTD - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,ESSO
2024-12-27,MARIOS G. PANAGI & SIA LTD - Πετρέλαιο Θέρμανσης,Liquid fuels,1.019,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,MARIOS G. PANAGI & SIA LTD - Κηροζίνη,Liquid fuels,1.149,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",ESSO
2024-12-27,VASOS MATOLIS LIMITED - Αμόλυβδη 95,Petrol,1.387,TRANSPORT,EKO
2024-12-27,VASOS MATOLIS LIMITED - Αμόλυβδη 98,Petrol,1.468,TRANSPORT,EKO
2024-12-27,VASOS MATOLIS LIMITED - Πετρέλαιο Κίνησης,Diesel,1.478,TRANSPORT,EKO
2024-12-27,VASOS MATOLIS LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.997,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,VASOS MATOLIS LIMITED - Κηροζίνη,Liquid fuels,1.129,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,K.L.D. PETROLEUM LIMITED - Αμόλυβδη 95,Petrol,1.393,TRANSPORT,EKO
2024-12-27,K.L.D. PETROLEUM LIMITED - Αμόλυβδη 98,Petrol,1.453,TRANSPORT,EKO
2024-12-27,K.L.D. PETROLEUM LIMITED - Πετρέλαιο Κίνησης,Diesel,1.479,TRANSPORT,EKO
2024-12-27,K.L.D. PETROLEUM LIMITED - Πετρέλαιο Θέρμανσης,Liquid fuels,0.985,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
2024-12-27,K.L.D. PETROLEUM LIMITED - Κηροζίνη,Liquid fuels,1.129,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",EKO
