Date,CPI General,Inflation (%)
2024-06-27,77.88999999999997,
2024-06-28,77.90825871005596,0.0234
2024-06-29,77.91076529412936,0.0032
2024-06-30,77.91076533732793,0.0
2024-07-01,77.91185869352715,0.0014
2024-07-02,77.90938061906225,-0.0032
2024-07-03,77.89548338342733,-0.0178
2024-07-04,77.90662003036833,0.0143
2024-07-05,77.86760386621988,-0.0501
2024-07-06,77.86887763338838,0.0016
2024-07-07,77.86887770146241,0.0
2024-07-08,77.86759194021133,-0.0017
2024-07-09,77.73234922473502,-0.1737
2024-07-10,77.82410752274889,0.118
2024-07-11,78.12727041172515,0.3895
2024-07-12,78.15205222795582,0.0317
2024-07-13,78.15591992471215,0.0049
2024-07-14,78.1559269623911,0.0
2024-07-15,78.29483642762568,0.1777
2024-07-16,78.19457700370612,-0.1281
2024-07-17,78.19456947290979,-0.0
2024-07-18,78.2389514341414,0.0568
2024-07-19,78.37340020043374,0.1718
2024-07-20,78.37465278938991,0.0016
2024-07-21,78.37423542320714,-0.0005
2024-07-22,78.32753495544634,-0.0596
2024-07-23,78.43993722592808,0.1435
2024-07-24,78.23414298740876,-0.2624
2024-07-25,78.2678708453417,0.0431
2024-07-26,77.97203455133022,-0.378
2024-07-29,77.99433126188903,0.0286
2024-07-30,77.99478376228771,0.0006
2024-07-31,77.99479735701226,0.0
2024-08-01,77.88773042363539,-0.1373
2024-08-02,77.93594148999996,0.0619
2024-08-03,77.9433,0.0094
