Date,CPI General,Inflation
2024-04-08,0.774,
2024-04-09,0.778683374,0.006050871
2024-04-10,0.778683849,6.10679E-07
2024-04-11,0.777878143,-0.001034702
2024-04-12,0.777979705,0.000130562
